order_id,customer_id,restaurant_id,order_time,delivery_time,customer_location,restaurant_location,order_value,rating
8535571,221,80,2024-04-28 13:10:09,2024-04-28 14:11:09,Address 58,Restaurant 80,22.49,5
8538938,295,52,2024-04-13 10:18:09,2024-04-13 10:51:09,Address 19,Restaurant 52,9.23,3
2422965,121,93,2024-04-13 11:21:09,2024-04-13 12:01:09,Address 24,Restaurant 93,15.68,3
1509095,507,18,2024-04-20 05:05:09,2024-04-20 06:40:09,Address 34,Restaurant 18,26.78,1
3569688,992,49,2024-04-24 16:44:09,2024-04-24 18:30:09,Address 42,Restaurant 49,40.63,2
6289827,327,71,2024-04-29 10:54:09,2024-04-29 11:37:09,Address 11,Restaurant 71,5.44,3
2398806,718,37,2024-04-16 04:14:09,2024-04-16 04:46:09,Address 82,Restaurant 37,28.56,3
6978199,422,87,2024-04-16 00:35:09,2024-04-16 01:03:09,Address 28,Restaurant 87,14.47,4
7547426,587,66,2024-04-16 09:44:09,2024-04-16 11:38:09,Address 46,Restaurant 66,6.75,3
8571705,861,48,2024-04-26 02:38:09,2024-04-26 04:13:09,Address 3,Restaurant 48,20.05,1
9974985,717,93,2024-05-03 22:49:09,2024-05-03 23:06:09,Address 2,Restaurant 93,26.29,3
8803341,198,89,2024-04-17 15:50:09,2024-04-17 16:57:09,Address 24,Restaurant 89,33.4,5
6657562,191,33,2024-04-20 04:52:09,2024-04-20 05:42:09,Address 53,Restaurant 33,32.13,4
9880835,896,11,2024-04-30 14:04:09,2024-04-30 16:01:09,Address 19,Restaurant 11,47.75,3
2300343,391,80,2024-04-26 02:17:09,2024-04-26 03:21:09,Address 82,Restaurant 80,46.17,2
1047452,121,24,2024-04-21 13:23:09,2024-04-21 15:04:09,Address 97,Restaurant 24,24.12,4
4752462,916,34,2024-04-10 00:23:09,2024-04-10 00:39:09,Address 43,Restaurant 34,16.73,3
5053579,573,52,2024-05-02 02:02:09,2024-05-02 02:18:09,Address 67,Restaurant 52,32.66,1
1938208,707,53,2024-04-26 18:00:09,2024-04-26 18:27:09,Address 37,Restaurant 53,36.92,1
5961446,891,37,2024-04-17 08:20:09,2024-04-17 08:39:09,Address 77,Restaurant 37,36.8,4
7735635,901,11,2024-04-17 18:23:09,2024-04-17 19:00:09,Address 34,Restaurant 11,26.25,5
2476101,750,44,2024-04-09 22:58:09,2024-04-09 23:10:09,Address 41,Restaurant 44,6.07,1
3704659,620,69,2024-05-05 09:47:09,2024-05-05 11:06:09,Address 97,Restaurant 69,49.47,2
1253755,500,40,2024-04-15 00:48:09,2024-04-15 02:19:09,Address 50,Restaurant 40,20.98,2
953423,563,13,2024-04-26 00:50:09,2024-04-26 01:47:09,Address 43,Restaurant 13,48.29,4
6962990,140,89,2024-04-06 13:46:09,2024-04-06 15:04:09,Address 74,Restaurant 89,17.4,4
1308650,648,69,2024-04-24 00:36:09,2024-04-24 02:22:09,Address 60,Restaurant 69,20.43,4
2762651,295,52,2024-04-14 01:13:09,2024-04-14 02:18:09,Address 16,Restaurant 52,9.09,2
7502969,304,3,2024-04-23 11:45:09,2024-04-23 12:05:09,Address 67,Restaurant 3,5.1,2
1531394,277,43,2024-04-22 18:08:09,2024-04-22 18:25:09,Address 9,Restaurant 43,35.43,5
6382738,451,67,2024-04-30 06:18:09,2024-04-30 08:03:09,Address 84,Restaurant 67,42.87,5
1508140,453,38,2024-04-24 20:42:09,2024-04-24 21:30:09,Address 11,Restaurant 38,46.27,3
1426135,391,38,2024-04-29 05:07:09,2024-04-29 06:41:09,Address 45,Restaurant 38,11.45,3
9016855,247,64,2024-04-09 10:32:09,2024-04-09 10:53:09,Address 60,Restaurant 64,22.12,5
1448744,667,20,2024-04-17 07:10:09,2024-04-17 08:49:09,Address 24,Restaurant 20,10.68,4
4538330,698,65,2024-05-01 03:41:09,2024-05-01 05:37:09,Address 7,Restaurant 65,10.53,2
8000434,701,28,2024-04-28 09:36:09,2024-04-28 10:07:09,Address 39,Restaurant 28,11.51,5
711684,170,58,2024-04-07 00:17:09,2024-04-07 02:11:09,Address 62,Restaurant 58,27.04,3
459544,109,41,2024-04-26 06:50:09,2024-04-26 07:20:09,Address 33,Restaurant 41,20.95,3
2811759,348,97,2024-04-28 11:29:09,2024-04-28 13:03:09,Address 94,Restaurant 97,37.17,1
5574095,373,35,2024-04-10 11:04:09,2024-04-10 11:17:09,Address 41,Restaurant 35,9.97,3
3513346,975,64,2024-05-03 21:23:09,2024-05-03 22:50:09,Address 49,Restaurant 64,11.0,3
9177228,250,7,2024-04-26 20:45:09,2024-04-26 22:13:09,Address 97,Restaurant 7,46.1,1
4587811,318,90,2024-04-27 04:00:09,2024-04-27 05:37:09,Address 71,Restaurant 90,7.8,1
9125920,120,80,2024-04-24 00:17:09,2024-04-24 01:44:09,Address 76,Restaurant 80,40.08,3
9570227,730,85,2024-04-28 07:42:09,2024-04-28 08:32:09,Address 44,Restaurant 85,15.98,3
7117399,952,78,2024-04-18 16:06:09,2024-04-18 16:25:09,Address 44,Restaurant 78,15.75,3
3785531,598,65,2024-04-11 04:06:09,2024-04-11 04:21:09,Address 31,Restaurant 65,31.61,1
7969867,435,52,2024-04-09 02:44:09,2024-04-09 03:41:09,Address 62,Restaurant 52,31.79,2
8953259,259,26,2024-04-23 17:33:09,2024-04-23 18:21:09,Address 100,Restaurant 26,28.71,3
7659757,646,29,2024-04-21 18:35:09,2024-04-21 19:09:09,Address 46,Restaurant 29,21.36,2
2082204,147,71,2024-04-12 01:30:09,2024-04-12 01:40:09,Address 65,Restaurant 71,45.1,4
1477761,708,35,2024-04-25 00:08:09,2024-04-25 00:28:09,Address 67,Restaurant 35,26.63,1
7778404,497,11,2024-04-13 13:46:09,2024-04-13 15:32:09,Address 15,Restaurant 11,45.63,4
6352580,397,98,2024-05-02 12:56:09,2024-05-02 14:17:09,Address 67,Restaurant 98,38.64,3
